path,size_bytes,mime,ext
logs/run_20250508_185132_nixos/make_v2_2.2_scatter_halo_np1.log,494,text/plain,.log
logs/run_20250508_185132_nixos/run_v2_2.2_scatter_halo_np2.log,215,text/plain,.log
logs/run_20250508_185132_nixos/run_v2_2.1_broadcast_all_np1.log,99,text/plain,.log
logs/run_20250508_185132_nixos/make_v2_2.1_broadcast_all_np1.log,534,text/plain,.log
logs/run_20250508_185132_nixos/run_v3_np1.log,162,text/plain,.log
logs/run_20250508_185132_nixos/run_v4_np4.log,195,text/plain,.log
logs/fullsuite_20250509_124616_nixos/make_v2_2.2_scatter_halo_np2.log,1009,text/plain,.log
logs/fullsuite_20250509_124616_nixos/rsync_to_192.168.1.97.log,0,inode/x-empty,.log
logs/fullsuite_20250509_124616_nixos/make_v2_2.1_broadcast_all_np2.log,1053,text/plain,.log
logs/fullsuite_20250509_124616_nixos/main_orchestration.log,7790,text/plain,.log
logs/fullsuite_20250509_124616_nixos/run_v4_np2.log,296,text/plain,.log
logs/fullsuite_20250509_124616_nixos/mpi_cluster_hosts.txt,43,text/plain,.txt
logs/fullsuite_20250509_124616_nixos/run_v2_2.1_broadcast_all_np2.log,200,text/plain,.log
logs/fullsuite_20250509_124616_nixos/make_v4.log,3211,text/plain,.log
logs/fullsuite_20250509_124616_nixos/run_v2_2.2_scatter_halo_np1.log,99,text/plain,.log
logs/fullsuite_20250509_124616_nixos/make_v3.log,819,text/plain,.log
logs/fullsuite_20250509_124616_nixos/run_v1_np1.log,892,text/plain,.log
logs/fullsuite_20250509_124616_nixos/run_v4_np1.log,196,text/plain,.log
logs/fullsuite_20250509_124616_nixos/make_v1.log,798,text/plain,.log
logs/fullsuite_20250509_124616_nixos/make_v2_2.2_scatter_halo_np1.log,1009,text/plain,.log
